--2017-05-01 22:02:37--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
==> TYPE I ... done.  ==> CWD not needed.
==> SIZE 100MB.zip ... 104857600
==> PASV ... done.    ==> RETR 100MB.zip ... done.
Length: 104857600 (100M) (unauthoritative)

     0K .......... .......... .......... .......... ..........  0%  497K 3m26s
    50K .......... .......... .......... .......... ..........  0% 1023K 2m33s
   100K .......... .......... .......... .......... ..........  0% 81.3M 1m42s
   150K .......... .......... .......... .......... ..........  0% 1.01M 1m41s
   200K .......... .......... .......... .......... ..........  0% 84.5M 81s
   250K .......... .......... .......... .......... ..........  0%  106M 68s
   300K .......... .......... .......... .......... ..........  0% 1.02M 72s
   350K .......... .......... .......... .......... ..........  0% 78.3M 63s
   400K .......... .......... .......... .......... ..........  0%  131M 56s
   450K .......... .......... .......... .......... ..........  0%  105M 51s
   500K .......... .......... .......... .......... ..........  0%  128M 46s
   550K .......... .......... .......... .......... ..........  0%  114M 42s
   600K .......... .......... .......... .......... ..........  0% 1.03M 47s
   650K .......... .......... .......... .......... ..........  0% 80.8M 43s
   700K .......... .......... .......... .......... ..........  0%  137M 40s
   750K .......... .......... .......... .......... ..........  0% 93.8M 38s
   800K .......... .......... .......... .......... ..........  0%  156M 36s
   850K .......... .......... .......... .......... ..........  0%  117M 34s
   900K .......... .......... .......... .......... ..........  0%  118M 32s
   950K .......... .......... .......... .......... ..........  0%  121M 30s
  1000K .......... .......... .......... .......... ..........  1% 1.36M 32s
  1050K .......... .......... .......... .......... ..........  1% 4.88M 32s
  1100K .......... .......... .......... .......... ..........  1% 86.1M 31s
  1150K .......... .......... .......... .......... ..........  1%  111M 29s
  1200K .......... .......... .......... .......... ..........  1%  116M 28s
  1250K .......... .......... .......... .......... ..........  1% 81.9M 27s
  1300K .......... .......... .......... .......... ..........  1%  212M 26s
  1350K .......... .......... .......... .......... ..........  1%  109M 25s
  1400K .......... .......... .......... .......... ..........  1% 74.4M 24s
  1450K .......... .......... .......... .......... ..........  1% 99.3M 24s
  1500K .......... .......... .......... .......... ..........  1%  144M 23s
  1550K .......... .......... .......... .......... ..........  1%  142M 22s
  1600K .......... .......... .......... .......... ..........  1%  125M 21s
  1650K .......... .......... .......... .......... ..........  1%  129M 21s
  1700K .......... .......... .......... .......... ..........  1% 82.0M 20s
  1750K .......... .......... .......... .......... ..........  1%  138M 20s
  1800K .......... .......... .......... .......... ..........  1% 1.48M 21s
  1850K .......... .......... .......... .......... ..........  1% 4.94M 21s
  1900K .......... .......... .......... .......... ..........  1% 73.5M 20s
  1950K .......... .......... .......... .......... ..........  1%  123M 20s
